PCB Reference, Part Description/Values,Package Size, Quantity per Board
C1,Decoupling Cap (0.1 -> 10uF),0805,1
D1-D43,5mm RGB LED,5mm,43
J1,Programming Header,"5-pin 0.1"" male header",1
J2,USB Micro,Molex 47346,1
J3,Power,"2-pin 0.1"" header or Wire",1
R1,1kΩ Resistor,0805,1
R2-R25,"Resistors | 100Ω for Red, 56Ω for Green and Blue",0805,24
SW1,Minature Tactile Switch,PTS810,1
SW2-SW10,Tactile Switches,4-pin 6mm tactile switch,9
U1,AMS1117-3.3 Voltage Regulator,SOT-223-3,1
U2,ULN2003 Darlington Array,SOP-16,1
U3,STM32F103RCTx,LQFP-64,1
